2026-04-01 18:38:59 | s03_features                   | INFO    | ══════════════════════════════════════════════════
2026-04-01 18:39:00 | s03_features                   | INFO    | Loaded 1,151,662 rows for 1992 tickers
2026-04-01 18:39:00 | s03_features                   | INFO    | Computing indicators…
2026-04-01 18:39:31 | s03_features                   | WARNING | Price coherence: 1 tickers have scale-corrupted Yahoo data (>3.0x jump):
2026-04-01 18:39:31 | s03_features                   | WARNING |   AQYLON: latest=48.17 vs median50=150.80 (ratio=0.3x) — REMOVED
2026-04-01 18:39:33 | s03_features                   | INFO    | Price coherence filter: 1,151,662 → 1,151,167 rows (1 tickers removed)
2026-04-01 18:39:33 | s03_features                   | INFO    | Quality filter: 1,151,167 → 726,985 rows (424,182 removed) [min_price=$10.0, min_vol=100,000, min_$vol=$2,000,000, max_price_india=₹3,000]
2026-04-01 18:39:33 | s03_features                   | INFO    | IPO seasoning: removed 16,454 rows (< 60 days)
2026-04-01 18:39:33 | s03_features                   | INFO    | ✓ INDIA: 1858 tickers, 710,531 rows after filters
2026-04-01 18:39:33 | s03_features                   | INFO    | Storing 710,531 feature rows…
2026-04-01 18:39:34 | s03_features                   | INFO    | ✓ Features table: 710,531 rows, 1858 tickers
2026-04-01 18:39:35 | dashboard_api                  | INFO    | [india] Pipeline step 'features' OK  (35.3s)
2026-04-01 18:39:35 | s04_rs_rank                    | INFO    | ══════════════════════════════════════════════════
2026-04-01 18:39:35 | s04_rs_rank                    | INFO    | Relative strength ranking: INDIA
2026-04-01 18:39:35 | s04_rs_rank                    | INFO    | ══════════════════════════════════════════════════
2026-04-01 18:39:35 | s04_rs_rank                    | INFO    | Computing cross-sectional RS ranks…
2026-04-01 18:39:36 | s04_rs_rank                    | INFO    |   RS vs benchmark computed
2026-04-01 18:39:36 | s04_rs_rank                    | INFO    |   Sector momentum computed
2026-04-01 18:39:36 | s04_rs_rank                    | INFO    | ✓ INDIA: 1858 tickers ranked
2026-04-01 18:39:36 | s04_rs_rank                    | INFO    | Storing 710,531 ranked rows…
2026-04-01 18:39:37 | s04_rs_rank                    | INFO    | ✓ Ranked table: 710,531 rows
2026-04-01 18:39:37 | dashboard_api                  | INFO    | [india] Pipeline step 'rs_rank' OK  (2.6s)
2026-04-01 18:39:37 | s05_patterns                   | INFO    | ══════════════════════════════════════════════════
2026-04-01 18:39:37 | s05_patterns                   | INFO    | Pattern detection: INDIA
2026-04-01 18:39:37 | s05_patterns                   | INFO    | ══════════════════════════════════════════════════
2026-04-01 18:39:38 | s05_patterns                   | INFO    |   Detecting Trend Template…
2026-04-01 18:39:38 | s05_patterns                   | INFO    |     Trend Template: 9.2% of rows pass
2026-04-01 18:39:38 | s05_patterns                   | INFO    |   Detecting Multi-Contraction VCP…
2026-04-01 18:39:38 | s05_patterns                   | INFO    |     VCP: 67.7% of rows pass
2026-04-01 18:39:38 | s05_patterns                   | INFO    |   Detecting Darvas Box…
2026-04-01 18:39:38 | s05_patterns                   | INFO    |     Darvas: 0.1% of rows pass
2026-04-01 18:39:38 | s05_patterns                   | INFO    |   Detecting Power Play…
2026-04-01 18:39:38 | s05_patterns                   | INFO    |     Power Play: 0.0% of rows pass
2026-04-01 18:39:38 | s05_patterns                   | INFO    |   Detecting IPO Base…
