avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,experiment,variant,down_days,rvol,trail,hold,entry_mode,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr
788.7,-6.7,5.26,800.0,59.7,vol_follow,volr_1.5,3,2.0,0.02,10,close,vol_follow_volr_1.5_D3_R2.0_T0.02_H10,865.0,-7.6,5.09,1432,54.4
433.4,-6.0,4.6,567.0,62.3,gap_filter,gap_0.03,4,2.0,0.02,10,close,gap_filter_gap_0.03_D4_R2.0_T0.02_H10,570.9,-8.0,5.08,1055,59.7
4238.2,-15.5,5.3,1682.0,49.9,t1_entry,next_open,3,1.0,0.03,10,next_open,t1_entry_next_open_D3_R1.0_T0.03_H10,1748.6,-20.0,5.06,2758,48.5
676.1,-7.3,4.96,725.0,60.6,vol_follow,volr_1.2,4,1.5,0.02,7,close,vol_follow_volr_1.2_D4_R1.5_T0.02_H7,633.7,-9.5,5.05,1284,55.5
2182.8,-14.6,5.48,1343.0,53.9,baseline,none,3,1.5,0.03,7,close,baseline_none_D3_R1.5_T0.03_H7,1266.9,-19.5,5.03,2282,51.0
1784.6,-16.3,5.18,1193.0,53.1,baseline,none,4,1.0,0.03,7,close,baseline_none_D4_R1.0_T0.03_H7,1096.6,-19.0,5.02,2024,50.5
1207.1,-16.0,4.98,1060.0,53.3,gap_filter,gap_0.02,4,1.0,0.03,10,close,gap_filter_gap_0.02_D4_R1.0_T0.03_H10,1011.8,-19.4,5.02,1871,51.8
481.1,-7.0,4.78,601.0,61.4,vol_follow,volr_1.0,4,2.0,0.02,7,close,vol_follow_volr_1.0_D4_R2.0_T0.02_H7,567.9,-8.1,5.02,1101,57.5
2763.8,-15.9,5.17,1682.0,49.8,t1_entry,next_open,3,1.0,0.03,7,next_open,t1_entry_next_open_D3_R1.0_T0.03_H7,1304.4,-20.3,5.01,2758,48.7
1932.1,-16.0,5.27,1297.0,53.7,gap_filter,gap_0.05,3,1.5,0.03,7,close,gap_filter_gap_0.05_D3_R1.5_T0.03_H7,1155.8,-22.0,4.99,2222,50.8
2724.9,-14.6,5.7,1469.0,53.0,vol_follow,volr_1.0,3,1.0,0.03,10,close,vol_follow_volr_1.0_D3_R1.0_T0.03_H10,1835.9,-18.5,4.98,2450,50.5
1057.3,-16.4,4.97,1096.0,53.2,gap_filter,gap_0.03,4,1.0,0.03,7,close,gap_filter_gap_0.03_D4_R1.0_T0.03_H7,941.2,-20.1,4.97,1916,51.1
714.1,-7.3,4.96,725.0,60.6,vol_follow,volr_1.2,4,1.5,0.02,10,close,vol_follow_volr_1.2_D4_R1.5_T0.02_H10,696.0,-9.5,4.97,1284,55.5
1621.4,-17.3,5.02,1162.0,53.0,gap_filter,gap_0.05,4,1.0,0.03,7,close,gap_filter_gap_0.05_D4_R1.0_T0.03_H7,1092.7,-19.8,4.96,1979,50.5
2901.4,-14.9,5.55,1343.0,54.0,baseline,none,3,1.5,0.03,10,close,baseline_none_D3_R1.5_T0.03_H10,1599.5,-19.1,4.94,2282,51.0
2569.5,-16.7,5.38,1297.0,54.0,gap_filter,gap_0.05,3,1.5,0.03,10,close,gap_filter_gap_0.05_D3_R1.5_T0.03_H10,1428.2,-22.8,4.92,2222,50.9
520.1,-7.0,4.73,601.0,61.4,vol_follow,volr_1.0,4,2.0,0.02,10,close,vol_follow_volr_1.0_D4_R2.0_T0.02_H10,630.0,-8.1,4.9,1101,57.5
363.3,-6.2,4.33,513.0,61.8,gap_filter,gap_0.02,4,2.0,0.02,10,close,gap_filter_gap_0.02_D4_R2.0_T0.02_H10,468.6,-6.9,4.89,970,60.0
1812.2,-13.6,5.49,1361.0,53.7,vol_follow,volr_1.2,3,1.0,0.03,7,close,vol_follow_volr_1.2_D3_R1.0_T0.03_H7,1079.6,-17.7,4.89,2280,50.6
331.4,-6.2,4.31,513.0,61.8,gap_filter,gap_0.02,4,2.0,0.02,7,close,gap_filter_gap_0.02_D4_R2.0_T0.02_H7,422.4,-6.9,4.89,970,60.0
1841.7,-12.3,5.18,1203.0,54.4,vol_follow,volr_1.5,3,1.0,0.03,10,close,vol_follow_volr_1.5_D3_R1.0_T0.03_H10,1179.2,-14.4,4.88,2036,51.2
958.2,-16.3,4.8,1060.0,52.9,gap_filter,gap_0.02,4,1.0,0.03,7,close,gap_filter_gap_0.02_D4_R1.0_T0.03_H7,830.7,-20.5,4.86,1871,51.6
518.2,-8.7,4.98,813.0,57.9,bounce,bounce_0.2,3,1.5,0.02,7,close,bounce_bounce_0.2_D3_R1.5_T0.02_H7,490.0,-8.1,4.86,1415,53.7
525.3,-8.7,4.99,813.0,57.9,bounce,bounce_0.2,3,1.5,0.02,10,close,bounce_bounce_0.2_D3_R1.5_T0.02_H10,490.8,-8.1,4.85,1415,53.7
1120.9,-13.1,4.68,867.0,54.5,gap_filter,gap_0.05,4,1.5,0.03,10,close,gap_filter_gap_0.05_D4_R1.5_T0.03_H10,842.5,-13.9,4.79,1509,52.2
1539.0,-13.4,5.09,1052.0,53.9,baseline,none,3,2.0,0.03,10,close,baseline_none_D3_R2.0_T0.03_H10,1035.6,-18.9,4.79,1846,51.4
1063.4,-17.2,4.69,1195.0,52.8,gap_filter,gap_0.03,3,1.5,0.03,7,close,gap_filter_gap_0.03_D3_R1.5_T0.03_H7,951.5,-16.8,4.79,2092,50.8
907.1,-7.1,5.0,778.0,61.0,vol_follow,volr_1.0,4,1.5,0.02,7,close,vol_follow_volr_1.0_D4_R1.5_T0.02_H7,915.9,-8.9,4.79,1377,56.6
2104.7,-14.2,5.52,1469.0,52.9,vol_follow,volr_1.0,3,1.0,0.03,7,close,vol_follow_volr_1.0_D3_R1.0_T0.03_H7,1492.3,-17.2,4.78,2450,50.5
