avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,depth,breadth_mode,breadth_factor,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr,holdout_avg_size,xirr_pct_of_base,dd_improvement,wr_improvement
2202.1,-6.7,6.67,1297.0,59.1,,reduce_30-55_0.8,0.8,3,1.5,0.02,7,dNone_reduce_30-55_0.8_D3_R1.5_T0.02_H7,1565.3,-9.4,6.68,2222,55.0,0.949,82.36253617469087,-1.1999999999999993,0.0
2131.4,-6.3,6.64,1297.0,59.1,,reduce_30-55_0.6,0.6,3,1.5,0.02,7,dNone_reduce_30-55_0.6_D3_R1.5_T0.02_H7,1418.0,-8.1,6.63,2222,55.0,0.898,74.6119442252039,-2.5,0.0
2099.2,-6.1,6.61,1297.0,59.1,,reduce_30-55_0.5,0.5,3,1.5,0.02,7,dNone_reduce_30-55_0.5_D3_R1.5_T0.02_H7,1348.4,-7.5,6.58,2222,55.0,0.873,70.94975006577216,-3.0999999999999996,0.0
2068.9,-5.9,6.58,1297.0,59.1,,reduce_30-55_0.4,0.4,3,1.5,0.02,7,dNone_reduce_30-55_0.4_D3_R1.5_T0.02_H7,1281.4,-7.0,6.52,2222,55.0,0.848,67.42436200999737,-3.5999999999999996,0.0
2178.6,-6.7,6.66,1297.0,59.1,,reduce_25-55_0.8,0.8,3,1.5,0.02,7,dNone_reduce_25-55_0.8_D3_R1.5_T0.02_H7,1517.3,-9.3,6.67,2222,55.0,0.941,79.83688503025519,-1.299999999999999,0.0
2091.3,-6.2,6.62,1297.0,59.1,,reduce_25-55_0.6,0.6,3,1.5,0.02,7,dNone_reduce_25-55_0.6_D3_R1.5_T0.02_H7,1331.0,-7.9,6.6,2222,55.0,0.882,70.03420152591423,-2.6999999999999993,0.0
2052.8,-6.0,6.58,1297.0,59.1,,reduce_25-55_0.5,0.5,3,1.5,0.02,7,dNone_reduce_25-55_0.5_D3_R1.5_T0.02_H7,1245.0,-7.2,6.53,2222,55.0,0.852,65.50907655880032,-3.3999999999999995,0.0
2103.8,-6.8,6.61,1297.0,59.1,,reduce_25-50_0.6,0.6,3,1.5,0.02,7,dNone_reduce_25-50_0.6_D3_R1.5_T0.02_H7,1358.4,-9.7,6.57,2222,55.0,0.905,71.47592738752961,-0.9000000000000004,0.0
2067.2,-6.8,6.57,1297.0,59.1,,reduce_25-50_0.5,0.5,3,1.5,0.02,7,dNone_reduce_25-50_0.5_D3_R1.5_T0.02_H7,1277.5,-9.5,6.51,2222,55.0,0.881,67.21915285451196,-1.0999999999999996,0.0
1988.9,-6.9,6.39,1297.0,54.4,,skip_30-50,0.0,3,1.5,0.02,7,dNone_skip_30-50_D3_R1.5_T0.02_H7,1095.8,-10.0,6.12,2222,45.2,0.803,57.65851091817943,-0.5999999999999996,-9.799999999999997
