avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,depth,gap,breadth_mode,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr,xirr_pct_of_base,dd_improvement,wr_improvement,sweet_score
1036.9,-5.7,5.39,778.0,61.5,,,skip_25-50,4,1.5,0.02,7,dNone_gNone_skip_25-50_D4_R1.5_T0.02_H7,605.8,-6.2,5.26,1190,58.7,27.672209026128264,-4.2,4.0,-999.0
1088.2,-5.2,5.5,768.0,62.5,,,skip_30-55,4,1.5,0.02,7,dNone_gNone_skip_30-55_D4_R1.5_T0.02_H7,715.2,-5.2,5.48,1160,60.5,32.669468298921984,-5.2,5.799999999999997,-999.0
1169.9,-18.2,4.71,966.0,53.0,-0.3,-0.05,skip_25-50,4,1.0,0.03,10,d30_g5_skip_25-50_D4_R1.0_T0.03_H10,574.4,-19.9,4.43,1466,51.6,26.237895121505574,9.499999999999998,-3.1000000000000014,-999.0
380.7,-7.5,4.66,619.0,60.5,-0.25,-0.02,skip_30-50,4,1.5,0.02,7,d25_g2_skip_30-50_D4_R1.5_T0.02_H7,407.3,-8.5,4.97,1046,59.8,18.604969852000732,-1.9000000000000004,5.099999999999994,-999.0
714.4,-14.4,4.07,697.0,54.8,-0.3,-0.03,only_bear<25,4,1.0,0.03,10,d30_g3_only_bear<25_D4_R1.0_T0.03_H10,186.3,-19.7,3.36,770,53.5,8.509957975516173,9.299999999999999,-1.2000000000000028,-999.0
789.4,-17.7,4.29,824.0,53.1,-0.3,-0.03,only_broad>50,4,1.0,0.03,10,d30_g3_only_broad>50_D4_R1.0_T0.03_H10,305.1,-19.7,3.8,1151,51.6,13.936597843961266,9.299999999999999,-3.1000000000000014,-999.0
1503.6,-17.3,5.03,1127.0,52.8,-0.3,-0.05,none,4,1.0,0.03,10,d30_g5_none_D4_R1.0_T0.03_H10,1220.8,-19.9,5.05,1949,50.7,55.76466289055363,9.499999999999998,-4.0,-999.0
490.2,-7.0,4.93,712.0,60.1,-0.25,-0.02,none,4,1.5,0.02,7,d25_g2_none_D4_R1.5_T0.02_H7,616.3,-7.1,5.52,1325,59.0,28.15183628722821,-3.3000000000000007,4.299999999999997,-999.0
588.3,-8.0,4.76,648.0,60.3,-0.25,,only_broad>50,4,1.5,0.02,7,d25_gNone_only_broad>50_D4_R1.5_T0.02_H7,296.1,-6.8,4.49,915,57.6,13.525488763018457,-3.6000000000000005,2.8999999999999986,-999.0
1240.5,-17.9,4.82,995.0,52.9,-0.3,-0.05,skip_30-50,4,1.0,0.03,10,d30_g5_skip_30-50_D4_R1.0_T0.03_H10,731.1,-19.9,4.65,1551,51.3,33.39576100858761,9.499999999999998,-3.4000000000000057,-999.0
511.5,-7.1,4.45,560.0,62.3,-0.25,,only_bear<25,4,1.5,0.02,7,d25_gNone_only_bear<25_D4_R1.5_T0.02_H7,146.2,-5.2,3.82,651,59.8,6.678238625982094,-5.2,5.099999999999994,-999.0
525.7,-7.1,4.51,581.0,61.7,-0.25,,only_bear<30,4,1.5,0.02,7,d25_gNone_only_bear<30_D4_R1.5_T0.02_H7,186.7,-5.2,3.98,713,59.2,8.52822949022474,-5.2,4.5,-999.0
461.6,-5.4,4.52,546.0,62.1,,-0.03,only_bear<30,4,1.5,0.02,7,dNone_g3_only_bear<30_D4_R1.5_T0.02_H7,231.1,-4.5,4.06,681,60.6,10.556367622875937,-5.9,5.899999999999999,-999.0
1200.4,-16.2,4.79,956.0,53.2,-0.3,-0.05,skip_30-55,4,1.0,0.03,10,d30_g5_skip_30-55_D4_R1.0_T0.03_H10,643.9,-19.9,4.6,1435,52.1,29.412570802119497,9.499999999999998,-2.6000000000000014,-999.0
1140.6,-16.9,4.67,928.0,53.4,-0.3,-0.05,skip_25-55,4,1.0,0.03,10,d30_g5_skip_25-55_D4_R1.0_T0.03_H10,503.7,-19.9,4.38,1350,52.4,23.008404896765946,9.499999999999998,-2.3000000000000043,-999.0
642.4,-7.7,5.17,698.0,62.3,-0.25,,skip_25-55,4,1.5,0.02,7,d25_gNone_skip_25-55_D4_R1.5_T0.02_H7,435.5,-5.9,5.26,1065,60.8,19.89311163895487,-4.5,6.099999999999994,-999.0
1016.3,-16.2,4.24,770.0,53.6,-0.3,-0.05,only_bear<30,4,1.0,0.03,10,d30_g5_only_bear<30_D4_R1.0_T0.03_H10,245.3,-19.9,3.55,876,52.9,11.20500639503015,9.499999999999998,-1.8000000000000043,-999.0
991.6,-16.2,4.08,741.0,54.2,-0.3,-0.05,only_bear<25,4,1.0,0.03,10,d30_g5_only_bear<25_D4_R1.0_T0.03_H10,180.2,-19.9,3.28,791,53.5,8.231317376210487,9.499999999999998,-1.2000000000000028,-999.0
