avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,bucket,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr
1728.5,-6.9,5.86,827.0,64.9,min_10%,4,1.0,0.02,5,min_10%_D4_R1.0_T0.02_H5,1357.7,-10.0,5.66,1347,60.8
718.5,-8.1,5.44,852.0,60.3,max_25%,4,1.5,0.02,5,max_25%_D4_R1.5_T0.02_H5,676.5,-7.1,5.64,1525,56.9
773.0,-8.3,5.64,997.0,58.5,max_25%,3,2.0,0.02,5,max_25%_D3_R2.0_T0.02_H5,817.8,-8.2,5.61,1800,53.9
1965.9,-6.9,5.71,827.0,65.0,min_10%,4,1.0,0.02,7,min_10%_D4_R1.0_T0.02_H7,1501.4,-10.0,5.59,1347,61.1
1187.3,-9.3,5.99,1513.0,55.1,max_15%,3,1.0,0.02,5,max_15%_D3_R1.0_T0.02_H5,902.3,-8.3,5.57,2587,51.4
2143.5,-6.9,5.68,827.0,65.0,min_10%,4,1.0,0.02,10,min_10%_D4_R1.0_T0.02_H10,1641.0,-10.0,5.55,1347,61.1
4590.8,-14.4,6.04,1682.0,53.1,no_filter,3,1.0,0.03,7,no_filter_D3_R1.0_T0.03_H7,1978.7,-17.9,5.53,2758,50.7
6673.9,-14.7,6.15,1682.0,53.2,no_filter,3,1.0,0.03,10,no_filter_D3_R1.0_T0.03_H10,2617.0,-18.8,5.5,2758,50.8
794.9,-9.0,5.39,956.0,57.7,max_20%,3,2.0,0.02,10,max_20%_D3_R2.0_T0.02_H10,886.9,-9.3,5.5,1745,53.7
647.4,-7.6,5.09,798.0,59.3,max_20%,4,1.5,0.02,10,max_20%_D4_R1.5_T0.02_H10,631.3,-7.1,5.5,1454,56.3
722.7,-9.0,5.39,956.0,57.7,max_20%,3,2.0,0.02,7,max_20%_D3_R2.0_T0.02_H7,792.0,-9.2,5.49,1745,53.7
611.5,-7.6,5.05,798.0,59.3,max_20%,4,1.5,0.02,7,max_20%_D4_R1.5_T0.02_H7,591.7,-7.1,5.46,1454,56.3
1082.6,-6.4,5.54,850.0,61.7,min_5%,4,1.5,0.02,5,min_5%_D4_R1.5_T0.02_H5,879.1,-8.5,5.46,1463,57.6
1557.1,-5.5,5.76,651.0,69.1,min_15%,3,1.0,0.02,5,min_15%_D3_R1.0_T0.02_H5,1179.4,-8.9,5.42,1000,66.5
830.6,-10.3,5.48,1144.0,55.5,max_15%,3,1.5,0.02,10,max_15%_D3_R1.5_T0.02_H10,803.5,-10.5,5.4,2036,51.9
1225.7,-6.4,5.47,850.0,61.7,min_5%,4,1.5,0.02,7,min_5%_D4_R1.5_T0.02_H7,1021.9,-8.5,5.39,1463,57.5
673.6,-7.0,5.11,696.0,61.7,no_filter,4,2.0,0.02,7,no_filter_D4_R2.0_T0.02_H7,718.2,-8.1,5.38,1254,57.4
1314.5,-6.4,5.49,850.0,61.7,min_5%,4,1.5,0.02,10,min_5%_D4_R1.5_T0.02_H10,1126.7,-8.5,5.36,1463,57.5
3006.9,-14.5,5.9,1682.0,52.8,no_filter,3,1.0,0.03,5,no_filter_D3_R1.0_T0.03_H5,1400.1,-18.7,5.36,2758,50.1
745.8,-10.1,5.48,1144.0,55.4,max_15%,3,1.5,0.02,7,max_15%_D3_R1.5_T0.02_H7,726.6,-10.1,5.35,2036,51.9
1674.4,-5.5,5.64,651.0,69.1,min_15%,3,1.0,0.02,7,min_15%_D3_R1.0_T0.02_H7,1260.2,-8.9,5.33,1000,66.5
541.3,-7.6,5.04,798.0,59.2,max_20%,4,1.5,0.02,5,max_20%_D4_R1.5_T0.02_H5,512.7,-7.1,5.33,1454,56.1
2986.0,-15.9,5.63,1635.0,52.3,max_25%,3,1.0,0.03,7,max_25%_D3_R1.0_T0.03_H7,1510.0,-17.6,5.33,2727,50.5
4198.8,-16.2,5.77,1635.0,52.4,max_25%,3,1.0,0.03,10,max_25%_D3_R1.0_T0.03_H10,1945.8,-18.8,5.31,2727,50.5
637.2,-9.3,5.25,956.0,57.3,max_20%,3,2.0,0.02,5,max_20%_D3_R2.0_T0.02_H5,669.8,-9.6,5.31,1745,53.2
937.8,-6.2,5.27,637.0,65.6,min_10%,4,1.5,0.02,5,min_10%_D4_R1.5_T0.02_H5,902.2,-7.8,5.31,1061,62.2
610.3,-7.0,5.05,696.0,61.4,no_filter,4,2.0,0.02,5,no_filter_D4_R2.0_T0.02_H5,634.2,-8.1,5.27,1254,56.9
586.3,-10.6,4.74,982.0,54.7,max_15%,4,1.0,0.02,10,max_15%_D4_R1.0_T0.02_H10,738.0,-10.3,5.27,1770,52.3
733.6,-7.0,5.07,696.0,61.7,no_filter,4,2.0,0.02,10,no_filter_D4_R2.0_T0.02_H10,805.1,-8.1,5.26,1254,57.4
1711.1,-5.5,5.64,651.0,69.1,min_15%,3,1.0,0.02,10,min_15%_D3_R1.0_T0.02_H10,1318.6,-8.9,5.26,1000,66.5
549.0,-10.6,4.73,982.0,54.7,max_15%,4,1.0,0.02,7,max_15%_D4_R1.0_T0.02_H7,698.7,-10.3,5.24,1770,52.3
1022.6,-6.2,5.16,637.0,65.7,min_10%,4,1.5,0.02,7,min_10%_D4_R1.5_T0.02_H7,1003.9,-7.8,5.23,1061,62.6
878.7,-7.3,5.26,673.0,63.1,min_10%,3,2.0,0.02,7,min_10%_D3_R2.0_T0.02_H7,835.3,-11.8,5.2,1125,58.9
438.2,-8.4,4.93,646.0,61.5,max_25%,4,2.0,0.02,7,max_25%_D4_R2.0_T0.02_H7,509.3,-8.0,5.2,1206,57.0
654.4,-11.0,5.38,1144.0,55.4,max_15%,3,1.5,0.02,5,max_15%_D3_R1.5_T0.02_H5,607.9,-10.5,5.19,2036,51.8
